codigo,nome,grupo,fornecedor,conversoes,medidas,observacoes,aplicacoes_json
"AL-177","CUBO DE RODA DIANTEIRO (FORJADO) MASTER 2.3 16V - 113 MG / 213 MG / 223 MG / 323 MG (2013 > 2021) Nº DE ESTRIAS 31 FURO DO ROLAMENTO 55 MM QTD DE FUROS 5 FURAÇÃO 5 X 130 MM","ROLAMENTOS E CUBOS","IMA","COFAP CRC18005 FREMAX FWB0836 HIPPER HFCD843A | NAKATA NKF8210 | ORIGINAL 8200688970 | PERFECT CDRD0628 TAS C11R970 CATÁLOGO DE PRODUTOS E APLICAÇÕES FOTO / CÓDIGO / APLICAÇÃO INFORMAÇÕES ADICIONAIS Nº CONVERSÃO","","POSIÇÃO DIANTEIRO | LADO DIREITO/ESQUERDO","[]"
"AL-4089","CUBO DE RODA TRASEIRO (FORJADO) C/ ROLAMENTO MASTER 2.3 16V (2013 > 2021) Nº DE ESTRIAS 45,30 MM QTD DE FUROS 5 FURAÇÃO 5 X 130 MM","ROLAMENTOS E CUBOS","IMA","NAKATA NKF8295","","POSIÇÃO TRASEIRO | LADO DIREITO / ESQUERDO","[]"
"AL-991","CUBO DE RODA DIANTEIRO (FORJADO) MASTER 2.5 16V (2004 > 2012) / 2.8 8V (2002 > 2004) Nº DE ESTRIAS 28 FURO DO ROLAMENTO 49 MM QTD DE FUROS 5 FURAÇÃO 5 X 130 MM","ROLAMENTOS E CUBOS","IMA","COFAP CRC18041 FREMAX FWB0775 HIPPER HFCD843 | NAKATA NKF8133 | ORIGINAL 7700313184, 8200807882 TAS C11R991 VETOR B3184","","POSIÇÃO DIANTEIRO | LADO DIREITO/ESQUERDO ALBARUS ALB70-426","[]"
"AL-992","CUBO DE RODA TRASEIRO COM ROLAMENTO (FORJADO) MASTER 2.5 16V (2004 > 2012) / 2.8 8V (2002 > 2004) FURO DO ROLAMENTO 45 MM QTD DE FUROS 5 FURAÇÃO 5 X 130 MM","ROLAMENTOS E CUBOS","IMA","COFAP CRC18006 FREMAX FWB0776 HIPPER HFCT843 IRB IR13992 | NAKATA NKF8211 | ORIGINAL 7700314961 TAS C11R829 VETOR B4961 VOBER 34040406 SEAT","","POSIÇÃO TRASEIRO | LADO DIREITO/ESQUERDO","[]"
"AL-1419","PONTEIRA HOMOCINÉTICA MASTER 2.5 8V - S/ABS (2005 > 2013) / 2.8 8V - S/ABS (2005 > 2013) N° ESTRIAS INTERNA 36 N° ESTRIAS EXTERNA 28","TRANSMISSÃO","IMA","ORIGINAL 820045557 | PERFECT KJH5895 VETOR VT5270","","LADO RODA DEVIGILI DG80108","[]"
"AL-1420","PONTEIRA HOMOCINÉTICA MASTER 2.5 8V - ARO 16 (2005 > 2013) / 2.8 8V - ARO 16 (2005 > 2013) N° ESTRIAS INTERNA 36 N° ESTRIAS EXTERNA 28","TRANSMISSÃO","IMA","AXIOS
LT30252
COFAP 
JHC18115
NAKATA
NJH015576
ORIGINAL 
820048557
PERFECT 
KJH0629 
ROLEMAK 
MTR-CV-R1210005 
SPICER 
47906632 
VETOR 
VT5107","","LADO RODA ALBARUS ALB47906632","[]"
"AL-1531","PONTEIRA HOMOCINÉTICA MASTER 2.3 16V - 113MG / 213MG / 323MG (2013 > 2019) N° ESTRIAS INTERNA 36 N° ESTRIAS EXTERNA 31","TRANSMISSÃO","IMA","COFAP JHC18124 | NAKATA NJH362675 | ORIGINAL 391011HB0B (CVA) | PERFECT KJH0628 SKF VKJA41166A VETOR VT5309","","LADO RODA","[]"
"ALR-329129 R","ROLAMENTO RODA DIANTEIRA E TRASEIRA DUPLO ROLETADO MASTER 2.5 8V (2003 > 2013) / 2.8 8V (2003 > 2013)","ROLAMENTOS E CUBOS","IMA","ORIGINAL 4271033, 7182301, 7185978 SKF BAHB 636193 C BTHB 329129 ABA BTHB 329129 CE VKBC 20002 VKBC 20073 TAS TAS 329129 R TIMKEN JXC 25469 DB JXC 25469CA VETOR 40240 581408 CATÁLOGO DE PRODUTOS E APLICAÇÕES FOTO / CÓDIGO / APLICAÇÃO INFORMAÇÕES ADICIONAIS Nº CONVERSÃO","","POSIÇÃO DIANTEIRO/TRASEIRO Ø EXT. D 84 MM Ø INT. D 49 MM ALTURA A 48 MM ASH ASH 329129 R FAG 713 6910 20 FERSA PW49840048CSHD IRB IR18129 NTN/SNR FC41544S01, FC41853","[]"
"ALR-1215 R ABS","ROLAMENTO RODA DIANTEIRA C/ABS DUPLO ROLETADO MASTER 2.3 16V (2010 >) ABS SIM (96 POLOS)","ROLAMENTOS E CUBOS","IMA","ORIGINAL 51745702 SCHADEK 50129 SKF BTH-1215 AE VKBC 20032 VKBC 41022 TAS TAS 5590 54 AR VETOR 559054M","","POSIÇÃO DIANTEIRO Ø EXT. D 90 MM Ø INT. D 55 MM ALTURA A 54 MM IRB IR18128","[]"
"ALR-40096 R","ROLAMENTO RODA TRASEIRA DUPLO ROLETADO MASTER 2.5 8V (2003 > 2013) / 2.8 8V (2003 > 2013)","ROLAMENTOS E CUBOS","IMA","ORIGINAL 0003501349, 7701206742 SKF VKBA 3501 TAS TAS 4580 48R VETOR 40760","","POSIÇÃO TRASEIRO Ø EXT. D 80 MM Ø INT. D 45,30 MM ALTURA A 48 MM FAG 803750 B IRB IR18580 NTN/SNR FC40096S07","[]"
